t_start,steps,files,MAE_mean,MAE_std,MSE_mean,MSE_std
300,10,80,0.046180,0.003053,0.004378,0.000244
300,20,80,0.048593,0.003080,0.004752,0.000252
300,50,80,0.050124,0.003091,0.005002,0.000258
300,100,80,0.050718,0.003102,0.005100,0.000261
200,10,80,0.042467,0.002516,0.003595,0.000165
200,20,80,0.044196,0.002540,0.003843,0.000171
200,50,80,0.045324,0.002557,0.004011,0.000175
200,100,80,0.045781,0.002571,0.004080,0.000178
150,10,80,0.040285,0.002233,0.003167,0.000132
150,20,80,0.041663,0.002260,0.003356,0.000136
150,50,80,0.042559,0.002287,0.003482,0.000140
150,100,80,0.042932,0.002296,0.003535,0.000142
100,10,80,0.037585,0.002026,0.002680,0.000107
100,20,80,0.038539,0.002056,0.002802,0.000111
100,50,80,0.039221,0.002087,0.002891,0.000115
100,100,80,0.039470,0.002093,0.002924,0.000116
