file,t_start,ddim_steps,seeds,MAE_mean,MAE_std,MSE_mean,MSE_std,PSNR_mean,SAM_mean,ERGAS_mean
patch_000000.npz,999,50,4,0.391829,0.009208,0.236395,0.009214,6.267,0.5410,257.69
patch_000001.npz,999,50,4,0.389905,0.008471,0.238189,0.008479,6.234,0.5364,249.49
patch_000002.npz,999,50,4,0.388369,0.008656,0.239287,0.008659,6.214,0.5364,248.53
patch_000003.npz,999,50,4,0.388982,0.009526,0.240552,0.009528,6.191,0.5366,248.79
patch_000004.npz,999,50,4,0.386321,0.008391,0.238811,0.008395,6.222,0.5374,247.53
patch_000005.npz,999,50,4,0.387123,0.008555,0.238040,0.008557,6.236,0.5372,248.28
patch_000006.npz,999,50,4,0.390359,0.009731,0.237300,0.009731,6.251,0.5376,250.45
patch_000007.npz,999,50,4,0.390116,0.006874,0.234811,0.006875,6.295,0.5367,250.56
patch_000008.npz,999,50,4,0.389397,0.007699,0.233293,0.007695,6.323,0.5361,250.53
patch_000009.npz,999,50,4,0.391636,0.009172,0.233407,0.009177,6.322,0.5357,252.18
